Region,Community Name,Lat,Lon,Dropdown Check (Feb 17),New Lat,New Lon
Alaska,"Alakanuk, AK",62.68513008396,-165.05145835089,O,62.69,-165.05
Alaska,"Brevig Mission, AK",65.28390131066,-166.54327687843,X,65.27,-166.69
Alaska,"Cold Bay, AK",54.89287036056,-162.58568981718,O,54.89,-162.59
Alaska,"Deering, AK",66.21584687303,-162.68601887367,O,66.22,-162.69
Alaska,"Dillingham, AK",58.69846703977,-158.60418296048,O,58.7,-158.6
Alaska,"Diomede, AK",65.74505388581,-168.98217532320,O,65.75,-168.98
Alaska,"Egegik, AK",58.21752575254,-157.61012923712,O,58.22,-157.61
Alaska,"Ekuk, AK",58.69846703977,-158.60418296048,O,58.7,-158.6
Alaska,"Elim, AK",64.55918135633,-162.10518840138,O,64.56,-162.11
Alaska,"Emmonak, AK",62.82222219730,-164.93645292456,O,62.82,-164.94
Alaska,"Gambell, AK",63.80907552881,-171.75553557951,O,63.81,-171.76
Alaska,"Golovin, AK",64.38321761164,-162.95676379212,O,64.38,-162.96
Alaska,"Goodnews Bay, AK",59.07291062185,-161.76552154466,X,59.16,-161.83
Alaska,"Hooper Bay, AK",61.50931729911,-166.00272466050,O,61.51,-166
Alaska,"Kaktovik, AK",70.19279325131,-143.63969729483,O,70.19,-143.64
Alaska,"Kipnuk, AK",59.97524396100,-164.27984827860,O,59.9,-164.44
Alaska,"Kivalina, AK",67.64173683197,-164.67300408202,O,67.64,-164.67
Alaska,"Kongiganak, AK",59.91414936392,-162.89334915638,O,59.91,-162.89
Alaska,"Kotlik, AK",63.11438827561,-163.41273959410,O,63.11,-163.41
Alaska,"Kotzebue, AK",66.82876743993,-162.78405140106,O,66.83,-162.78
Alaska,"Koyuk, AK",64.70476306071,-161.16176049877,O,64.7,-161.16
Alaska,"Kwigillingok, AK",59.84418244264,-163.11780924772,O,59.84,-163.12
Alaska,"Mekoryuk, AK",60.40778006122,-166.27752756453,O,60.63,-166.27
Alaska,"Naknek, AK",58.65165506981,-157.46698693061,O,58.65,-157.47
Alaska,"Nelson Lagoon, AK",56.08328246505,-161.22275658375,O,56.08,-161.22
Alaska,"Newtok, AK",60.88433762044,-165.15993447947,O,60.88,-165.16
Alaska,"Nome, AK",64.48141065805,-165.42235937528,O,64.38,-165.42
Alaska,"Nunam Iqua, AK",62.57909207024,-165.20431265518,O,62.58,-165.2
Alaska,"Pilot Point, AK",57.59939366239,-157.83329642643,O,57.6,-157.83
Alaska,"Platinum, AK",58.98714427180,-161.95034349055,O,58.99,-161.95
Alaska,"Point Hope, AK",68.28843076168,-166.87691295957,O,68.29,-166.88
Alaska,"Point Lay, AK",69.72626188573,-163.38557223757,O,69.73,-163.39
Alaska,"Port Heiden, AK",56.95994821809,-158.82576865072,X,57.01,-158.95
Alaska,"Prudhoe Bay, AK",70.44871798632,-148.03332113867,O,70.45,-148.03
Alaska,"Quinhagak, AK",59.73474536305,-162.00314976041,X,59.72,-162.11
Alaska,"Savoonga, AK",63.73258067629,-170.47008854169,O,64.06,-170.51
Alaska,"Scammon Bay, AK",61.87288464705,-165.73331342558,X,61.94,-165.92
Alaska,"Shaktoolik, AK",64.26017040743,-161.45302011971,O,64.26,-161.45
Alaska,"Shishmaref, AK",66.21762640585,-166.22757759434,O,66.22,-166.23
Alaska,"St. George, AK",56.63327922361,-169.53082679879,O,56.63,-169.53
Alaska,"St. Michael, AK",63.49826814609,-161.85402976797,O,63.81,-161.94
Alaska,"St. Paul, AK",57.10883514779,-170.25476866454,O,57.11,-170.25
Alaska,"Stebbins, AK",63.50543178495,-162.41042952888,X,63.46,-162.74
Alaska,"Teller, AK",65.28390131066,-166.54327687843,X,65.23,-166.81
Alaska,"Togiak, AK",58.94227276212,-160.43818848502,X,58.89,-160.47
Alaska,"Toksook Bay, AK",60.49583847782,-165.11217524769,O,60.5,-165.11
Alaska,"Tununak, AK",60.69482252988,-165.25656387090,O,60.83,-165.38
Alaska,"Umkumiut, AK",60.49583847782,-165.11217524769,O,60.5,-165.11
Alaska,"Unalakleet, AK",63.85019410173,-161.26095759082,O,63.85,-161.26
Alaska,"Utqiaġvik, AK",71.47130630753,-156.66517693223,O,71.47,-156.67
Alaska,"Wainwright, AK",70.78746107576,-160.26518640104,O,70.79,-160.27
Alaska,"Wales, AK",65.57856295147,-168.28334108969,O,65.58,-168.28
Northwest Territories,"Paulatuk, NWT",69.96108639472,-123.66151765645,O,69.96,-123.66
Northwest Territories,"Sachs Harbour, NWT",71.86327123372,-125.48211213438,O,71.86,-125.48
Northwest Territories,"Tuktoyaktuk, NWT",69.68355841677,-133.37198942014,O,69.68,-133.37
Northwest Territories,"Ulukhaktok, NWT",70.72,-118.02,,70.62,-118.32
Nunavut,"Alert, NU",,,,82.51,-61.22
Nunavut,"Arctic Bay, NU",,,,73.15,-85.52
Nunavut,"Arviat, NU",,,,61.08,-93.89
Nunavut,"Cambridge Bay, NU",,,,68.96,-105.38
Nunavut,"Cape Dorset, NU",,,,64.08,-76.48
Nunavut,"Chesterfield Inlet, NU",,,,63.40,-90.65
Nunavut,"Clyde River, NU",,,,70.31,-68.48
Nunavut,"Coral Harbour, NU",,,,63.96,-82.83
Nunavut,"Gjoa Haven, NU",,,,68.52,-95.92
Nunavut,"Grise Fjord, NU",,,,76.44,-83.15
Nunavut,"Hall Beach, NU",,,,68.78,-81.05
Nunavut,"Igloolik, NU",,,,69.30,-81.53
Nunavut,"Iqaluit, NU",,,,63.64,-68.45
Nunavut,"Kimmirut, NU",,,,62.67,-69.98
Nunavut,"Kugaaruk, NU",,,,68.50,-90.12
Nunavut,"Kugluktuk, NU",,,,68.03,-113.83
Nunavut,"Naujaat, NU",,,,66.40,-85.55
Nunavut,"Pangnirtung, NU",,,,66.05,-66.25
Nunavut,"Pond Inlet, NU",,,,72.77,-76.29
Nunavut,"Qikiqtarjuaq, NU",,,,67.37,-63.76
Nunavut,"Rankin Inlet, NU",,,,62.71,-91.62
Nunavut,"Resolute, NU",,,,74.62,-95.18
Nunavut,"Sanikiluaq, NU",,,,56.47,-78.90
Nunavut,"Taloyoak, NU",,,,69.48,-94.07
Nunavut,"Whale Cove, NU",,,,62.14,-92.56
Manitoba,"Churchill, MB",,,,58.79,-93.94
Ontario,"Attawapiskat, ON",,,,52.96,-82.26
Ontario,"Fort Albany, ON",,,,52.22,-81.39
Ontario,"Fort Severn, ON",,,,56.02,-87.63
Ontario,"Kashechewan, ON",,,,52.37,-81.38
Ontario,"Moosonee, ON",,,,51.37,-80.31
Quebec,"Akulivik, QC",,,,60.86,-78.3
Quebec,"Aupaluk, QC",,,,59.4,-69.61
Quebec,"Chisasibi, QC",,,,53.82,-79.15
Quebec,"Eastmain, QC",,,,52.23,-78.62
Quebec,"Inukjuak, QC",,,,58.38,-78.33
Quebec,"Ivujivik, QC",,,,62.41,-78.07
Quebec,"Kangiqsualujjuaq, QC",,,,58.82,-66.1
Quebec,"Kangiqsujuaq, QC",,,,61.72,-71.94
Quebec,"Kangirsuk, QC",,,,60,-69.46
Quebec,"Kuujjuaq, QC",,,,58.51,-68.08
Quebec,"Kuujjuarapik, QC",,,,55.32,-77.73
Quebec,"Puvirnituq, QC",,,,59.96,-77.74
Quebec,"Quaqtaq, QC",,,,60.91,-69.39
Quebec,"Salluit, QC",,,,62.31,-75.76
Quebec,"Tasiujaq, QC",,,,58.78,-69.77
Quebec,"Umiujaq, QC",,,,56.5,-76.71
Quebec,"Waskaganish, QC",,,,51.49,-78.94
Quebec,"Wemindji, QC",,,,52.97,-78.98
Quebec,"Whapmagoostui, QC",,,,55.32,-77.73
Labrador,"Black Tickle, NL",,,,53.47,-55.72
Labrador,"Capstan Island, NL",,,,51.54,-56.72
Labrador,"Cartwright, NL",,,,53.8,-57.02
Labrador,"Charlottetown, NL",,,,52.71,-55.88
Labrador,"English Point, NL",,,,51.42,-56.89
Labrador,"Hopedale, NL",,,,55.3,-60.09
Labrador,L'Anse-au-Clair,,,,51.37,-57.04
Labrador,L'Anse-au-Loup,,,,51.49,-56.78
Labrador,"Lodge Bay, NL",,,,52.2,-55.7
Labrador,"Makkovik, NL",,,,54.93,-58.93
Labrador,"Mary's Harbour, NL",,,,52.33,-55.71
Labrador,"Nain, NL",,,,56.54,-61.26
Labrador,"Natuashish, NL",,,,56.03,-61.19
Labrador,"Paradise River, NL",,,,53.53,-57.29
Labrador,"Pinsent's Arm, NL",,,,52.82,-55.75
Labrador,"Pinware, NL",,,,51.59,-56.61
Labrador,"Postville, NL",,,,55,-59.7
Labrador,"Red Bay, NL",,,,51.71,-56.41
Labrador,"Rigolet, NL",,,,54.33,-57.83
Labrador,"West Saint Modeste, NL",,,,51.58,-56.67
Newfoundland,"St. Anthony, NL",,,,51.34,-55.38
Newfoundland,"Englee, NL",,,,50.67,-55.93
Newfoundland,"Baie Verte, NL",,,,50.14,-55.79
Newfoundland,"Crow Head, NL",,,,49.86,-55.01
Newfoundland,"Twilingate, NL",,,,49.87,-54.57
Newfoundland,"Deadman's Bay, NL",,,,49.47,-53.37
Newfoundland,"Eastport, NL",,,,48.82,-53.41
Newfoundland,"Bonavista, NL",,,,48.73,-52.96
Newfoundland,"Grates Cove, NL",,,,48.23,-52.85
Newfoundland,"Pouch Cove, NL",,,,47.8,-52.73
Newfoundland,"St. Johns, NL",,,,47.6,-52.54
Chukotka,"Ванкарем, CAR",67.89097736495,-175.61492390491,O,67.89,-175.61
Chukotka,"Инчоун, CAR",66.32293249211,-170.27006503675,O,66.32,-170.27
Chukotka,"Конергино, CAR",65.89328290954,-178.87526639588,O,65.89,-178.88
Chukotka,"Лаврентия, CAR",65.36163868231,-170.30336574137,O,65.36,-170.3
Chukotka,"Лорино, CAR",65.43722012672,-171.66345429433,O,65.44,-171.66
Chukotka,"Нешкан, CAR",67.06336629354,-172.97044107651,O,67.22,-172.89
Chukotka,"Новое Чаплино, CAR",64.42756908403,-172.14258985466,O,64.43,-172.14
Chukotka,"Нунлигран, CAR",64.75477741171,-175.48685657610,X,64.73,-175.59
Chukotka,"Нутэпэльмен, CAR",67.55282051021,-174.70014190848,O,67.55,-174.7
Chukotka,"Сиреники, CAR",64.30307205749,-174.09492526819,O,64.3,-174.09
Chukotka,"Уэлен, CAR",66.21730148113,-169.73403898847,O,66.22,-169.73
Chukotka,"Энмелен, CAR",65.00159992767,-175.91185818531,O,65,-175.91
Chukotka,"Энурмино, CAR",66.97336693975,-171.80838025647,O,66.97,-171.81
Chukotka,"Янракыннот, CAR",64.88179603077,-172.34507532880,O,64.88,-172.35
Chukotka,"Анадырь, CAR",,,,64.43,178.72
Chukotka,"Беринговский, CAR",,,,63,179.78
Chukotka,"Айон, CAR",,,,69.96,167.92
Chukotka,"Красноарме́йский, CAR",,,,69.03,170.83
Chukotka,"Валькумей, CAR",,,,69.83,169.95
Chukotka,"Певек, CAR",,,,69.83,169.95
Chukotka,"Ленинградский, CAR",,,,69.55,178.68
Chukotka,"Мыс Шмидта, CAR",,,,68.93,-179.12
Chukotka,"Рыркайпий, CAR",,,,68.93,-179.54
